id,state
721027,CA
722191,NC
745048,CA
724100,VA
911900,HI
747945,FL
724695,CO
724298,OH
725288,NY
997077,NC
724088,DE
720593,IN
745058,CA
720371,MI
722291,NE
720727,TX
720407,NJ
724104,NJ
722697,NM
701945,AK
722439,TX
722953,CA
727573,ND
722284,AL
690014,NM
720652,CA
720646,CA
722673,TX
724420,MO
721041,FL
722223,FL
720160,WV
700869,AK
722040,FL
719690,YT
727349,MI
725224,OH
724028,VA
994978,NJ
720365,OR
726940,OR
998203,MI
724270,TN
726578,MN
703160,AK
997811,NC
720467,LA
998201,MS
726666,WY
998153,FL
997283,CT
725377,MI
723124,SC
720322,ID
704545,AK
726954,OR
998234,MS
997079,MI
720668,TX
722322,KY
725715,CO
720389,MD
749484,ME
722577,TX
723535,OK
747994,LA
703620,AK
722328,LA
749487,OK
720334,MD
749108,NY
722903,CA
722680,NM
723249,TN
744655,IL
726060,ME
740174,CA
690110,MI
723084,VA
722787,AZ
725016,NY
723075,VA
720276,TX
702607,AK
725145,NY
740164,CA
703052,AK
722418,IL
725524,NE
701196,AK
725033,NY
724075,NJ
749051,FL
725040,CT
725850,CA
702913,AK
722728,AZ
723935,CA
726871,ID
722487,LA
997310,NC
726875,OR
703724,AK
690584,CA
693870,YK
722598,TX
747400,TX
720384,MD
997707,ME
723030,NC
727846,WA
720731,TX
725950,CA
723830,CA
722010,FL
725743,WY
744665,IL
727790,MT
721015,ND
911961,HI
690210,NC
745700,OH
722162,AK
725150,NY
724303,OH
994045,FL
703655,AK
740124,CA
994920,CT
785470,VI
749183,MT
998231,MS
720254,WA
720361,AL
722682,LA
723274,TN
727735,MT
723424,AR
749228,AK
690190,TX
722576,TX
997382,AK
725187,NY
726650,WY
724036,VA
747808,GA
724008,NC
722670,TX
720368,MN
725753,UT
722128,NC
724723,UT
724126,WV
701213,AK
722156,GA
725472,IA
722555,TX
725395,MI
720787,MS
722499,TX
726573,MN
727830,ID
700631,AK
721017,ND
722072,TN
725466,IA
726375,MI
722695,NM
994028,CA
720466,LA
726776,MT
724180,DE
720375,MI
749069,NC
702628,AK
725860,ID
720862,ND
726956,OR
722615,TX
726190,ME
998484,TX
994027,CA
723105,SC
722561,TX
740194,CA
994012,CA
997363,TX
997733,FL
720736,IN
742079,WV
998476,CA
994062,WI
725414,MI
725837,CA
724110,VA
721024,ND
722397,LA
723565,OK
723306,MS
691324,NC
722934,CA
913660,MH
723035,NC
723495,MO
998496,CA
722403,LA
744859,NY
720305,TX
726885,OR
720942,NE
998191,HI
727377,MI
725496,IA
726673,MT
722486,LA
725765,WY
747915,SC
725216,OH
703600,AK
720636,MO
725264,PA
749053,FL
722596,TX
720859,WI
994044,CA
911760,HI
703606,AK
703627,AK
727686,MT
720412,IA
703863,AK
720398,WI
723125,SC
746190,CA
720129,NV
723630,TX
722869,CA
724733,UT
720713,OH
998279,FL
712615,BC
722931,CA
720922,UT
702686,AK
721043,TX
724517,KS
719174,NT
720738,GA
724338,IL
747350,TX
720477,MO
720601,SC
703604,AK
724030,VA
997380,AK
726513,SD
724099,NJ
727924,WA
727439,MI
749092,KS
723067,NC
722693,NM
722405,LA
702483,AK
727440,MI
722986,CA
740001,NJ
997788,AK
725580,NE
704540,AK
725156,NY
998327,NH
727676,ND
723626,NC
726223,NY
725047,CT
998317,NC
998166,OH
747240,AZ
722692,VA
726435,WI
725073,MA
722594,TX
725564,NE
725636,NE
722905,CA
994060,ME
747910,SC
720944,OH
722148,NC
997287,ME
724461,MO
998267,NY
724797,UT
723757,AZ
725465,IA
747550,LA
723409,AR
723240,TN
710445,ON
722958,CA
702710,AK
994160,NC
724080,PA
720961,IN
720449,KY
700450,AK
724230,KY
720170,IL
722268,AL
726818,ID
998409,MD
998013,CA
722710,NM
727416,WI
720658,MN
701625,AK
701175,AK
727974,WA
998181,TX
743925,ME
722133,OK
740030,UT
720993,CO
722034,FL
727855,WA
998291,FL
725060,NY
727458,MN
722526,TX
725314,IL
700867,AK
997372,DE
691484,WA
722120,FL
742513,OK
723658,NM
702220,AK
724236,KY
727550,MN
994019,CA
723445,AR
725705,UT
720528,CO
998176,MI
998274,FL
722068,FL
700868,AK
703055,AK
721038,NC
726396,CO
723245,TN
744907,MA
724340,MO
720326,IA
994070,WA
998239,MS
722909,CA
725323,IL
998252,ME
700300,AK
723346,TN
721022,ND
722435,TX
726480,MI
702910,AK
745965,NJ
998162,CA
723929,CA
726797,MT
692364,NV
726189,ME
994971,MA
725500,NE
723928,CA
723926,CA
722735,AZ
722119,FL
726160,NH
724350,KY
999999,AK
725294,NC
722340,MS
997359,MI
720545,CT
720443,KY
994046,MA
722214,TX
722610,TX
725035,NY
722020,FL
722746,AZ
722031,AL
722246,FL
722015,FL
998173,CA
726561,MN
725827,NV
911977,HI
720481,MO
703570,AK
997174,SC
724237,KY
725440,IL
998289,FL
720769,MS
720532,CO
747812,GA
998008,FL
724757,UT
727344,MI
726436,WI
998438,LA
722973,CA
727555,MN
725069,MA
749475,NM
702736,AK
722064,FL
720771,TX
725570,IA
720561,OK
702756,AK
723865,NV
724131,KY
723710,AZ
740144,CA
722783,AZ
720414,OH
723449,AR
720409,GA
725861,ID
720312,IA
726695,SD
998299,FL
997271,NY
724885,NV
722168,MN
724604,KS
998212,FL
724024,VA
724086,PA
720998,MT
725126,PA
744663,IL
723896,CA
720663,WI
723620,NM
722083,SC
722658,TX
727120,ME
727474,MN
725455,IA
704140,AK
722092,OK
725560,NE
724070,NJ
703835,AK
994025,WA
722416,TX
725820,NV
722720,AZ
720559,OK
747460,TX
722595,TX
726553,MN
994930,NY
998351,TX
703830,AK
994660,AK
720975,MS
720699,MD
720456,KY
720603,SC
998196,AL
723870,NV
722704,TX
994130,MI
722593,TX
722860,CA
726403,WI
722423,TX
742005,WA
723435,AR
726418,WI
722274,IA
720773,AL
724089,DE
721004,MT
722927,CA
720589,WI
745057,CA
911976,HI
720318,TX
722295,LA
724458,MO
724060,MD
726399,MI
997278,RI
724375,IN
744659,IL
720411,NM
725074,RI
720864,NC
720279,NC
749089,AL
702600,AK
725670,NE
